country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,3.83,,,,,1.32,,,,2.54,,,,,6.74,5.74,5.93,4.88,4.64,4.41,3.68,4.21,5.1,5.09,4.91,4.99,4.56,4.52,4.21,4,4.49,4.26,5.21,9.59
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,21.8,,2.93,0.53,2.6,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,4.75,1.2,2.21,1.16,2.46,2.22,4.37,1.52,1.36,3.25,1.31,2.34,3.04,4.65,3.5,3.51,2.09,1.1,1.59,2.94,3.71,4.44,3.23,2.37,3.81,2.72,1.83,3.34,7.25,10.7
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,2.43,3.95,,,5.34,1.56,3.2,4.83,1.9,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,4.27,7.98,5.04,1.95,3.89,4.13,3.1,3.15,3.93,4.2,4.11,4.52,7.63,9.44,13.1,12.8,8.58,5.62,4.9,6.43,5.66
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,5.45,3.69,3.82,4.19,4.59,4.22,4.89,5.2,4.92,4.6,5.6,6.15,6.3,5.63,4.82,4.56,5.81,6.49,5.71,5.96,6.36,5.4,4.85,3.81,2.88,2.3,1.97,2.37
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,5.32,6.72,8.32,8.48,8.61,10.7,8.91,9.29,10.7,12,14.1,13.7,14.9,17.3,17.7,15.2,14.2,12.8,12.1,12.9,12.7,13,13,11.2,8.93,8.05,7.17,6.32,5.52,5.22,4.66,4.12,3.59,3.08,2.57,2.38,2.81
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,3.77,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,6.43,6.13,6.21,5.56,7.02,8.7,7.5,9.58,10.3,9.77,6.71,9.79,6.35,6.01,6.38,5.63,4.18,3.95,4.19,3.78,5.81,5.8,4.31,3.95,2.86,3.63,4.25,4.65,5.72,5.54,4.78,4.86,3.95,3.55,3.89,3.42,4.26
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,3.26,3.04,1.75,1.93,2.22,1.18,,,1.16,2.12,0.63,1.73,2.1,2.05,1.79,2.42,1.03,0.85,1.27,1.19
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,,2.56,1.27,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,7.92,6.09,,0.69,1.37,,2.58,1.97,0.61,0.8,0.73,1.55,1.1,1.07,0.47,0.32,0.36,0.49,0.51,1.21,0.96,0.83,0.95,2.97
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,2.22,0.38,2.53,,,0.75,,1.4,,0.28,0.26,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,1.01,1.12,1.77,2.28,2.86,2.95,4.34,5.31,6.42,6.11,6.85,6.37,7.28,6.91,8.52,8.25,9.55,11,12.5,13.2,12.2,11.2,11.2,8.08,9.96,9.23,10.1,7.53,7.32,7.72,8.98,13.3,13.9,14.7,17.9,19.7,19.4,18.7,17.2,15.9,15.1,13.8,13.8
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.64,2.15,3.38,5.56,4.09,3.95,4.26,3.33,3.91,,,7.92,6.61,4.45,4.49,2.08,0.9,3.08,7.33,14,9.02,5.37,4.37,5.15,5.36,6.92,4.29,4.17,3.22,5.69
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,1.01,,,,,,,,0.74,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,6.67,6.03,6.72,,6.9,,6.84,4.63,4.67,4.63,2.75,4.72,9.52,15.2,17.5,9.88,13,13.6,13.3,10.2,8.78,8.62,6.38,7.82,7.79,6.57,6.67,5.88,5.01,5.48,5.67,5.32,5.12,5.86,6.32,6.98,6.89,6.99,6.01,5.18,6.87
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,0.63,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,
