country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,,0.91,,,,2.12,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,,,,,,,1.69,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,10.6,,,,,,,,,,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,7.11,,,,,,,,0.79,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,6,,,,,4.77,,,,4.97,,,,,8.5,8.16,7.16,6.87,5.74,5.75,5.7,5.72,6.99,6.79,5.89,5.76,5.15,5.16,5.15,5.68,5.13,4.98,6.18,9.68
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,,,,,,,,,,1.9,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,3.59,10.1,6.6,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,2.7,1.36,1.86,1.1,2.43,2.1,3.36,2.19,1.38,2.65,3.16,1.93,4.35,4.39,3.02,2.46,2.02,3.08,3.11,3.7,6.83,5.83,3.93,4.39,4.68,4.83,4.52,3.9,4.8,7.94
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.78,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,4.43,1.73,,,6.01,9.87,10.9,6.31,2.13,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,3.08,4.14,2.74,5.54,6.02,3.28,3.35,3.08,2.84,4.38,5.11,5.07,10.9,14.2,18.2,17.4,13.5,9.43,6.45,6.24,5.89
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,3.22,3.48,2.5,3.35,3.45,3.56,4.84,5.29,4.22,3.53,3.77,5.02,4.5,5.13,4.53,3.47,5.57,6.5,5.88,5.73,5.42,4.59,4.02,3.83,2.03,1.69,1.94,1.67
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,3.91,5.73,6.01,6.58,6.72,6.67,6.73,6.31,7.42,9.64,10.8,10.4,12.3,13.9,13.9,13.6,11.8,11.4,10.6,12.4,12.9,12.6,11.9,9.68,8.12,7.94,7.95,6.5,6.15,6.09,5.51,5.21,4.13,3.66,3.22,2.98,3.48
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72,,7.18,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14,4.09,5.79,4.13,6.08,5.2,6.12,5.13,7.87,7.25,8.11,6.32,6.92,5.95,4.44,4.23,3.22,3.94,3.99,5.03,4,5.49,4.64,3.54,2.99,2.31,5.23,6.94,6.68,5.88,5.51,5.55,3.97,4.24,3.84,3.41,3.34,4.15
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,2.59,2.19,2.75,2.25,2.71,1.26,1.31,1.58,2.18,2.07,1.71,2.07,1.76,1.54,2.45,2.22,1.27,1.2,1.16,1.31
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.59,,1.98,1.54,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,4.26,5.39,,2.8,1.55,,4.26,3.05,0.89,1.58,1.26,1.77,1.78,1.94,0.99,1.44,1.6,1.66,1.6,2.28,1.55,1.72,2.17,3.01
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.09,0.27,1.95,0.41,0.69,1.06,0.7,1.06,0.39,0.79,0.97,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,4.21,5.02,6.12,7.39,8.23,8.79,11.7,12.1,12.9,10.6,9.8,10.1,8.54,8.57,9.33,11.7,13.9,12.8,11.2,10.8,9.5,9,9.25,5.64,5.84,5.76,6.22,5.69,4.95,5.01,6.45,11.3,14.4,15.4,18.1,20.3,20.4,18.5,16.9,14.8,12.7,11.7,11.5
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.6,2,3.56,4.87,7.82,8.08,6.65,7.11,7.93,,,12.7,8.34,4.77,6.61,6.77,6.93,5.26,11.9,19.3,14.8,9.45,8.16,5.79,6.89,9.47,7.5,7.03,5.07,7.85
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,,,,,,1.03,,,,,,,,0.65,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,4,5.5,4.69,,6.11,,5.83,4.42,4.63,2.83,1.77,5.41,12.2,16.2,20.4,16.3,16.5,12,13.3,10.7,9.98,9.32,8.65,8.68,8.89,7.18,6.87,6.81,5.77,7.01,7.4,7.53,8.12,8.13,8.3,9.16,8.2,8.68,7.82,8.07,8.06
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,0.7,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,6.22,6.42,7.53,7.67,7.38,6.82,6.01,5.58,7.06,7.32,7.02,6.88,8.25,8.08,8.02,8.42,7.29,5.47,5.85,5.33,4.69,4.75,5.19,4.66,4.24,5.68,6.05,5.77,6.46,7.5,8.03,7.92,8.12,7.24,7.11,6.77,5.78
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,7.43,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,2.64,,,,,2.63,,,,
UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,9.4,9.9,10.3,11.4,10.5,8.84,8.65,9.14,10.8,13,11.6,10.2,9.55,7.89,6.84,6.41,5.64,4.34,4.33,4.28,3.83,3.4,3.52,3.96,3.73,5.86,5.93,6.25,5.93,5.41,4.45,3.82,4.19,4.01,3.37,3.26,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,7.37,8.15,10.3,7.18,9.83,10.1,,9.79,12.6,15.2,19.1,15.5,19.1,17.4,14.8,15.9,14.8,9.62,9.98,7.5,13.7
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,8.2,,,,,,1.45,,,,2.74,,,0.55,,3.1,,0.73,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,,,,,,,,,,,,,,,,,2.17,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04,,,,,,3.06,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,2.63,2.41,2.05,2.37,1.99,1.71,1.79,1.64,2.2,2.92,3.3,3.6,2.95,3.27,2.91,3.95,3.44,4.09,3.48,2.95,3.87,3.34,3.07,2.9,2.89,4.07,6.1,8.61,13.6,16.4,17.7,18.1,19.3,17.2,13.1,12.1,11.6
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34,,,13.5,,7.85,,2.29,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,1.42,,0.65,,,,1.89,1.69,,0.35,,0.86,0.85,0.38,0.72,0.64,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,6.69,,,,,,,,,,,,,,,,10.2,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,3.62,3.32,3.78,2.8,1.47,0.97,0.78,0.92,1.42,1.7,1.86,1.91,3.24,2.63,1.92,4.53,,6.28,5.44,8.89,10,9.82,7.37,5.9,4.58,3.97,5.53,4.63,3.41,3.14,3.31,3.38,3.02,2.99,3.02,2.49,3.34,7.12
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,1.23,1.02,1.59,1.27,2.05,1.8,1.73,1.6,2.49,2.27,4.23,2.65,3.46,1.19,8.36
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,,,,,,,,,,8.09,8.13,7.29,8.96,6.89,6.98,6.21,5.99,7.16,8.51,10.9,11.7,12,12.2,11.1,7.15,4.51,2.84,4.13
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,7.93,6.85,5.45,5.83,6.4,5.54,3.3,3.82,3.54,3.42,2.79,3.09,4.2,4.06,4.73,5.16,6.67,8.53,10,8.76,8.56,6.72,5.96,4.34,3.04,2.32,2.32,3.17
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.2,0.29,0.28,0.18,,0.35,0.49,0.54,0.7,0.44,1.1,1.18,1.16,1.48,0.73,0.97,1.16,0.95,1.22,1.01,1.03,0.94,0.77,0.94,0.81,0.99,1.01,1.03,0.67,1.32
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.17,,,,,0.13,,,,,0.2,,0.17,,,,,,0.43,0.44,0.39
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,9.96,10.4,10.2,12.3,11.7,11.2,9.46,9.36,8.41,8.48,8.51,7.44,6.71,6.47,5.26,4.17,2.6,2.63,2.43,2.57,2.88,3,2.42,2.43,3.6,7.58,10.2,11.5,12.8,11.9,10.5,8.68,7.19,5.92,4.9,3.69,4.34
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,4.16,3.81,3.29,4.81,6.42,4.17,3.66,3.32,2.98,3.84,5.04,4.19,4.67,3.3,3.53
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,,,,,3.27,,5.23,,4.41,5.24,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,2.55,4.31,3.78,3.86,3.16,3.24,3.11,,,,1.93,,6.19,,1.11,0.9,2.41,4.89,5.17,7.13,4.57,3.02,2.94,3.15,2.72,1.99,,,3.38
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,4.54,8.08,9.71,9.43,6.64,6.19,6.73,7.13,10.1,10.1,10.5,9.87,9.37,9.24,9.86,10,8.75,7.46,5.9,7.16,6.85,5.89,5.12,5.03,4.29,4.37,4.46,3.79,3.55,2.99,3.63
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.93,12.5,9.88,,3.27,1.55,1.88,1.47,1.87,2.29,1.62,2.38,1.66,1.99,2.15,2.94,3.71,4,4.35,4.65,4.65,4.62,4.57,4.68,4.11,4.12,3.98,3.62,2.86,2.58,3.25,3.75,3.91,4.55,5.95,6.73,6.19,6.4,6.41,6.31,6.32,5.78,5.07
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,,,5.34,,,,4.42,,,,,4.23,2.82,,,,4.8,,,,5.55,5.06,4.55,4.76,4.08,3.74,2.55,2.45,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41,5.45,5.5,
Japan,,,,,,,,,,,,,,,,,,,,,1.6,1.5,1.8,2.1,2.4,1.8,2.1,3.2,3.8,3.8,4.2,4.4,4,4.3,4.6,5,5.2,5,5.2,5.4,4.4,3.9,3.4,3,3.2,3.8,4.6,4.6,5.1,5,6.3,6.7,6.8,7.08,7.2,6.88,5.44,4.99,4.54,4.01,4.43,5.61,6.08,5.35,4.85,4.4,3.7,3.7,3.4,3,2.5,2.4,2.9
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97,5.04,5.6,,,,6.46,5.78,5.26,4.71,4.85,3.84,,,,5.3,,,5.17
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04,,,,,,,3.67,,,,,,,,,,0.14,,,1.32,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,,3.87,2.72,5.67,,,3.38,3.41,3.62,4.21,5.74,4.97,4.18,3.05,2.84,2.43,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,0.51,,0.68,,,0.47,,0.64,,,,,0.41,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97,,,,5.89,
