country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,,2.48,,2.45,3.49,3.84,7.04,,8.07,7.1,6.7,4.75,3.3,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,8,3,1.7,1.5,1.6,2.4,2.4,2.9,2.9,2.9,2.9,2.7,2.2,1.7,1.4,2.2,2,1.8,2,1.9,2.3,2.7,2.8,4.3,3.21,2.63,2.6,3.78,3.47,4.38,3.86,3.39,3.18,5.27,6.13,8.06,12.5,16.5,17.1,15,12.6,10.9,8.03,6.26,7.57
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,2.44,2.2,3.42,3.58,3.4,3.29,3.59,4.58,7.17,7.33,6.69,5.79,5.85,7.06,6.45,5.81,4.22,3.46,5.85,6.38,5.8,6.02,5.9,5.1,4.23,3.38,2.34,1.79,1.72,2.23
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,5.66,5.83,5.54,6.09,5.27,4.54,4.04,4.42,4.91,6.46,7.54,7.05,8.24,9.31,9.29,8.56,7.64,7.77,8.7,10.2,11.3,11.4,10.3,8.54,7.42,8.1,7.37,6.03,5.55,5.5,5.28,4.97,4.45,4.12,3.79,3.49,4.19
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94,,9.85,,,,,,19.7,,13.1,,11.9,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.5,5.8,5.5,6.1,6.6,5.1,6.5,9.2,9.7,9.16,7.78,6.37,4.56,5.2,5.78,7.51,7.84,8.3,8.29,10.4,7.21,5.61,5.54,4.52,3.85,4.49,4.04,3.62,4.24,5.09,5,4.44,3.33,3.45,3.34,7.07,8.62,7.9,7.8,7.12,6.73,6.06,5.64,5.64,4.94,4.8,5.33
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.17,5.17,4.92,5.26,4.32,4.87,3.84,3.81,3.22,4.12,4.12,4.69,5.15,5.34,4.83,5.45,4.99,4.29,3.67,4.07,4.16
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,21.3,21.7,,,,,,25.3,,,29.8,,,23.4,17.5,,,,,8.57,8.11,,9.56,8.3,8.96,9.92,8.18,10.8,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,5.14,5.76,4.1,5.18,5.63,5.85,5.44,5.38,7.98,6.92,8.38,10.3,3.84,3.62,,5.36,4.53,3.18,3.02,2.63,3.2,3.77,3.52,2.93,2.85,2.7,3.06,3.01,3.7,3.05,2.92,3.25,5.27
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,2.72,3.47,3.94,3.82,3.85,5.65,4.68,,,,,5.5,5.1,5.78,6.35,7.5,7.3,7.38,6.9,5.19,4.93,4.94,5.06,5.67,6.22,7.49,5.94,7.1,6.68,5.82,5.53,5.04,4.77,8.77,9.23,9.8,9.73,9.39,8.84,8.22,6.77,4.83,
